2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260629T083601_R064_T33KYR_20260629T141415: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YR/2026/06/29/S2C_MSIL2A_20260629T083601_N0512_R064_T33KYR_20260629T141415.SAFE/GRANULE/L2A_T33KYR_A009472_20260629T085639/IMG_DATA/R10m/T33KYR_20260629T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9CA50>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260629T083601_R064_T33KYQ_20260629T141415: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YQ/2026/06/29/S2C_MSIL2A_20260629T083601_N0512_R064_T33KYQ_20260629T141415.SAFE/GRANULE/L2A_T33KYQ_A009472_20260629T085639/IMG_DATA/R10m/T33KYQ_20260629T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9DBD0>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260629T083601_R064_T33KXR_20260629T141415: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XR/2026/06/29/S2C_MSIL2A_20260629T083601_N0512_R064_T33KXR_20260629T141415.SAFE/GRANULE/L2A_T33KXR_A009472_20260629T085639/IMG_DATA/R10m/T33KXR_20260629T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9DF90>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260629T083601_R064_T33KXQ_20260629T141415: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XQ/2026/06/29/S2C_MSIL2A_20260629T083601_N0512_R064_T33KXQ_20260629T141415.SAFE/GRANULE/L2A_T33KXQ_A009472_20260629T085639/IMG_DATA/R10m/T33KXQ_20260629T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9E350>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260624T083559_R064_T33KYR_20260624T125620: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YR/2026/06/24/S2B_MSIL2A_20260624T083559_N0512_R064_T33KYR_20260624T125620.SAFE/GRANULE/L2A_T33KYR_A048567_20260624T085747/IMG_DATA/R10m/T33KYR_20260624T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9E710>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260624T083559_R064_T33KYQ_20260624T125620: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YQ/2026/06/24/S2B_MSIL2A_20260624T083559_N0512_R064_T33KYQ_20260624T125620.SAFE/GRANULE/L2A_T33KYQ_A048567_20260624T085747/IMG_DATA/R10m/T33KYQ_20260624T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9EAD0>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260624T083559_R064_T33KXR_20260624T125620: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XR/2026/06/24/S2B_MSIL2A_20260624T083559_N0512_R064_T33KXR_20260624T125620.SAFE/GRANULE/L2A_T33KXR_A048567_20260624T085747/IMG_DATA/R10m/T33KXR_20260624T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9EE90>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260624T083559_R064_T33KXQ_20260624T125620: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XQ/2026/06/24/S2B_MSIL2A_20260624T083559_N0512_R064_T33KXQ_20260624T125620.SAFE/GRANULE/L2A_T33KXQ_A048567_20260624T085747/IMG_DATA/R10m/T33KXQ_20260624T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9F250>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2A_MSIL2A_20260621T083741_R064_T33KYR_20260621T152210: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YR/2026/06/21/S2A_MSIL2A_20260621T083741_N0512_R064_T33KYR_20260621T152210.SAFE/GRANULE/L2A_T33KYR_A057433_20260621T085928/IMG_DATA/R10m/T33KYR_20260621T083741_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9F610>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2A_MSIL2A_20260621T083741_R064_T33KYQ_20260621T152210: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YQ/2026/06/21/S2A_MSIL2A_20260621T083741_N0512_R064_T33KYQ_20260621T152210.SAFE/GRANULE/L2A_T33KYQ_A057433_20260621T085928/IMG_DATA/R10m/T33KYQ_20260621T083741_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9F9D0>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
